room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,views,bathroom_count,balcony-terrace,closet,air_conditioning,mini_bar,bathtub,shower,refrigerator,private-pool,jacuzzi-bathtub,bedroom_count,price_option_price,adults_number,children_number,có_bữa_sáng,bãi_đậu_xe,phòng_tập,vào_hồ_bơi_miễn_phí,wifi_miễn_phí,không_hoàn_tiền,miễn_phí_hủy,đã_kèm_bữa_sáng,hotel_id,room_room_type_name,hotel_name,region
36,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,,,,True,,,,,,0,2369977.0,2,0,100000,1,1,0,1,1,0,1,39821588,Phòng Deluxe 2 Giường đơn (Deluxe Twin),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
36,0,0,1,0,0,0,0,0,0,0,1,38.0,thanh pho,1,,,,True,,,,,,0,2416572.0,2,0,100000,1,1,0,1,0,1,1,39821588,Phòng Deluxe 2 Giường đơn (Deluxe Twin),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
37,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,,,,True,,,,,,0,2363688.0,2,0,100000,1,1,0,1,1,0,1,39821588,Suite,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
37,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,,,,True,,,,,,0,2501832.0,2,0,227000,1,1,0,1,0,1,0,39821588,Suite,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
37,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,,,,True,,,,,,0,2512786.0,2,0,100000,1,1,0,1,0,1,1,39821588,Suite,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
37,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,,,,True,,,,,,0,3307556.0,2,1,100000,1,1,0,1,0,1,1,39821588,Suite,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
39,0,1,0,0,0,0,0,0,0,0,1,,,0,,,,,,,,,,0,2378491.0,2,0,227000,1,1,0,1,0,1,0,39821588,Premium deluxe king double,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
39,0,1,0,0,0,0,0,0,0,0,1,,,0,,,,,,,,,,0,2905556.0,2,0,100000,1,1,0,1,0,1,1,39821588,Premium deluxe king double,HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
40,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,,,,,,0,2652114.0,2,0,100000,1,1,0,1,1,0,1,39821588,Suite cao cấp (Premium Suite),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
40,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,,,,,,0,2819932.0,2,0,100000,1,1,0,1,0,1,1,39821588,Suite cao cấp (Premium Suite),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
40,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,,,,,,0,2847959.0,2,0,227000,1,1,0,1,0,1,0,39821588,Suite cao cấp (Premium Suite),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
40,0,1,0,0,0,0,0,0,0,0,1,50.0,thanh pho,1,True,,,True,,,,,,0,3693889.0,2,1,100000,1,1,0,1,0,1,1,39821588,Suite cao cấp (Premium Suite),HIIVE by fusion Bình Dương - VSIP 1 (HIIVE by fusion Binh Duong - VSIP 1),Bình Dương
42,0,0,0,0,1,0,0,0,0,0,1,30.0,khong co cua so,0,,,,,,,,,,0,1275045.0,2,0,100000,1,0,0,1,1,0,1,64540148,Phòng Nhật Bản (Japan Room),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
43,0,0,0,0,1,0,0,0,0,0,1,33.0,thanh pho,1,,,,,,,,,,0,1774567.0,2,0,100000,1,0,0,1,1,0,1,64540148,Phòng Deluxe 2 Giường đơn (Deluxe Twin),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
43,0,0,0,0,1,0,0,0,0,0,1,33.0,thanh pho,1,,,,,,,,,,0,2175926.0,2,0,100000,1,0,0,1,0,0,1,64540148,Phòng Deluxe 2 Giường đơn (Deluxe Twin),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
44,1,0,0,0,0,0,0,0,0,0,1,33.0,thanh pho,0,,,,,,,,,True,0,1925594.0,2,0,100000,1,0,0,1,1,0,1,64540148,Phòng Thương gia giường đôi (Business Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
44,1,0,0,0,0,0,0,0,0,0,1,33.0,thanh pho,0,,,,,,,,,True,0,1756679.0,1,0,100000,1,0,0,1,1,0,1,64540148,Phòng Thương gia giường đôi (Business Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
45,0,1,0,0,0,0,0,0,0,0,1,43.0,thanh pho,1,,,,,,,,,,0,2831756.0,2,0,100000,1,0,0,1,1,0,1,64540148,Phòng Executive giường đôi (Executive Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
45,0,1,0,0,0,0,0,0,0,0,1,43.0,thanh pho,1,,,,,,,,,,0,3472222.0,2,0,100000,1,0,0,1,0,0,1,64540148,Phòng Executive giường đôi (Executive Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
45,0,1,0,0,0,0,0,0,0,0,1,43.0,thanh pho,1,,,,,,,,,,0,2693574.0,1,0,100000,1,0,0,1,1,0,1,64540148,Phòng Executive giường đôi (Executive Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
45,0,1,0,0,0,0,0,0,0,0,1,43.0,thanh pho,1,,,,,,,,,,0,3194444.0,1,0,100000,1,0,0,1,0,0,1,64540148,Phòng Executive giường đôi (Executive Double),Khách sạn TC Thành phố Mới Bình Dương (TC Hotel Binh Duong New City),Bình Dương
