,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace_str,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,blackout_curtains,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,air-bath-access,hot-spring-access,bedroom_str,bedroom_count,wifi_str,confirmation-instant_str,confirmation-instant
3804,6841,0,1,0,0,0,0,0,0,0,0,1,,0,1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3805,6842,0,1,0,0,0,0,0,0,0,0,1,28.0,1,1,Hướng Núi,nui,Ban công/sân hiên,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,0,,Đồ gỗ ngoài trời,do go ngoai troi
3806,6843,0,1,0,0,0,0,0,0,0,0,1,42.0,1,1,Hướng Sân trong,san trong,Ban công/sân hiên,True,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3807,6844,1,0,0,0,0,0,0,0,0,0,1,36.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,Studio/1 phòng ngủ,1,,Trái cây/đồ ăn vặt,trai cay/do an vat
3808,6845,0,1,0,0,0,0,0,0,0,0,1,16.0,1,0,Hướng Núi,nui,Ban công/sân hiên,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3809,6846,0,0,0,0,0,0,0,0,0,0,1,25.0,0,1,Hướng Thành phố,thanh pho,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3810,6847,0,0,0,0,0,0,0,0,0,0,1,30.0,0,1,Hướng Thành phố,thanh pho,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3811,6848,0,0,0,0,0,0,0,0,0,0,1,35.0,0,1,Hướng Thành phố,thanh pho,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3812,6849,0,0,0,0,0,0,0,0,0,0,1,60.0,0,1,Hướng Thành phố,thanh pho,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3813,6850,0,0,0,0,0,0,0,0,0,0,1,65.0,0,1,Hướng Thành phố,thanh pho,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3814,6851,1,0,0,0,0,0,0,0,0,0,1,35.0,0,1,Hướng Núi,nui,Ban công/sân hiên,True,True,,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,,,0,,,
3815,6852,1,0,0,0,0,0,0,0,0,0,1,28.0,0,1,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3816,6853,1,0,0,0,0,0,0,0,0,0,1,,1,1,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,Studio/1 phòng ngủ,1,,,
3817,6854,0,0,0,0,0,0,1,0,0,0,1,20.0,1,1,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,Studio/1 phòng ngủ,1,,,
3818,6855,0,1,1,0,0,0,0,0,0,0,2,36.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,0,,Cửa sổ,cua so
3819,6856,0,1,1,0,0,0,0,0,0,0,2,36.0,0,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,True,,,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,0,,Đồ gỗ ngoài trời,do go ngoai troi
3820,6857,0,1,1,0,0,0,0,0,0,0,2,36.0,1,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3821,6858,0,1,0,0,0,0,0,0,0,0,1,48.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,True,,,True,True,,,,True,,,,,,,True,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3822,6859,0,1,1,0,0,0,0,0,0,0,2,36.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,,True,True,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3823,6860,0,1,1,0,0,0,0,0,0,0,3,72.0,2,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,,,,True,True,,,,True,,,,,,,True,,,,,,,,,,,,,,0,,Cửa sổ,cua so
3824,6861,0,1,1,0,0,0,0,0,0,0,3,72.0,2,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,True,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,0,,,
3825,6862,0,1,0,0,0,0,0,0,0,0,1,139.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,True,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,0,,Cửa sổ,cua so
3826,6863,0,1,0,0,0,0,0,0,0,0,1,139.0,0,1,Hướng Vườn,vuon,Ban công/sân hiên,True,,,,True,True,,True,,True,,,,,,,True,,,,,,,,,,,,,,0,,Cửa sổ,cua so
3827,6864,0,1,1,0,0,0,0,0,0,0,1,182.0,0,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,,,,,,,,,,,True,,,,,True,,,,,,,,,,,True,,2 phòng ngủ,2,,,
3828,6865,0,1,0,0,0,0,0,0,0,0,1,116.0,1,1,Hướng Vườn,vuon,Ban công/sân hiên,True,True,,,True,True,,,,True,,,,,,,True,,,,,,,,,,,,,,0,,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
3829,6866,1,0,1,0,0,0,0,0,0,0,1,203.0,3,1,Hướng Nông thôn,nong thon,Ban công/sân hiên,True,,,,,,,,,True,,,,,,,True,,,,,,,,,,,,,3 phòng ngủ,3,,Phòng xông khô,phong xong kho
