room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,closet,air_conditioning,hair_dryer,complimentary-bottled-water,bathtub,shower,refrigerator,high-floor,dressing-room,ground-floor,private-pool,top-floor,complimentary-instant-coffee,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count
115,1,0,0,0,0,0,0,0,0,1,24.0,0,1,no view,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
116,1,0,1,0,0,0,0,0,0,1,30.0,0,1,no view,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
117,1,0,1,0,0,0,0,0,0,1,30.0,0,1,nature,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,0,1,0,0,0,0,0,0,0,1,40.0,1,1,nature,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,1,0,0,0,0,0,0,0,0,1,34.0,0,1,no view,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1,30.0,1,1,city,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,1,0,0,0,0,1,40.0,1,1,city,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
122,0,1,0,0,0,0,0,0,0,1,40.0,1,1,city,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
123,0,0,0,0,1,0,0,0,0,1,25.0,1,1,garden,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
124,0,0,0,0,1,0,0,0,0,1,35.0,1,1,nature,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,0,0,0,0,1,0,0,0,0,1,60.0,1,1,nature,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,0,0,0,0,1,0,0,0,0,1,16.0,1,1,nature,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,1,0,0,0,0,1,18.0,1,1,nature,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
128,0,0,0,0,1,0,0,0,0,1,50.0,0,1,city,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1,0,0,0,0,0,0,0,0,1,58.0,2,1,no view,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
130,1,0,0,1,0,0,0,0,0,1,50.0,1,1,nature,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0,1,0,0,0,0,0,0,0,1,26.0,0,1,no view,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0,1,1,0,0,0,0,0,0,1,50.0,0,1,no view,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
