,room_type_id,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_count,confirmation-instant
133,136,1,0,0,0,1,0,0,0,0,1,20.0,1,1,ngoai troi,,,,,,True,True,,True,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
134,137,0,1,0,0,0,0,0,0,0,1,20.0,0,1,thanh pho,,True,True,,,,,,True,,True,,,,,,,,,,,,,,,,0,dieu hoa ca nhan
135,138,1,0,0,0,0,0,0,0,0,1,18.0,0,1,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,0,cua so
136,139,1,0,0,0,0,0,0,0,0,1,20.0,0,1,be boi,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,cua so
137,140,0,0,1,0,0,0,0,0,0,1,20.0,0,1,be boi,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,0,cua so
138,141,1,0,0,0,0,0,0,0,0,1,24.0,0,1,be boi,,True,True,True,,True,,,True,,,,,,,,,,,,,,,,,,0,cua so co the mo ra
139,142,1,0,0,0,0,0,0,0,0,1,24.0,0,1,ngoai troi,True,,True,True,,True,,,True,,,,,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
140,143,0,0,1,0,0,0,0,0,0,1,24.0,1,0,vuon,True,,True,,True,,,,,,,,,True,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
141,144,0,1,0,0,0,0,0,0,0,1,41.0,1,0,vuon,True,,True,,True,,,,,,,,,True,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
142,145,1,0,0,0,0,0,0,0,0,1,25.0,1,1,,,,,,,,,,,,,,True,,,,,,,,,,,,,,0,do dung cho giac ngu thoai mai
