,room_type_id,bed_str,expanded_bed,large_double_bed,large_bed,single_bed,sofa_bed,double_bed,small_double_bed,king_size_bed,futon_mattress,bunk_bed,extra_long_bed,flexibility_score,sqm,bathroom_count,is_private_bathroom,views_str,views,balcony-terrace,non-smoking-room,closet,air_conditioning,mini_bar,hair_dryer,extra-long-beds,complimentary-bottled-water,bathtub,shower,separate-shower-and-tub,refrigerator,high-floor,dressing-room,ground-floor,private-pool,executive-lounge-access,top-floor,complimentary-instant-coffee,jacuzzi-bathtub,smoking-allowed,electric-blanket,free-welcome-drink,low-floor,complimentary-tea,coffee-tea-maker,hot-spring-access,bedroom_str,bedroom_count,confirmation-instant_str,confirmation-instant
44,47,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,40.0,1,1,Hướng Thành phố,thanh pho,,,,,True,,True,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
45,48,1 giường đôi lớn,"[{'bed_type': 'giường đôi lớn', 'bed_count': 1}]",1,0,0,0,0,0,0,0,0,0,1,54.0,0,1,Hướng Bể bơi,be boi,,True,,,True,,True,,True,,,,,,,,,,,,,,,,,,True,,0,Cửa sổ,cua so
46,49,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,54.0,0,1,Hướng Bể bơi,be boi,,True,,,True,,True,,True,,,,,,,,,,,,,,,,,,True,,0,Cửa sổ,cua so
47,50,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,54.0,1,1,Hướng Ngoài trời,ngoai troi,,True,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,0,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
48,51,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,70.0,0,1,Hướng Thành phố,thanh pho,,True,,True,True,,True,,True,,,,,,,,,,,,,,,,,,,,0,Cửa sổ,cua so
49,52,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,52.0,1,1,Hướng Thành phố,thanh pho,True,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,0,Hành lang ngoài,hanh lang ngoai
50,53,1 giường lớn & 1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}, {'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,62.0,1,1,Hướng Thành phố,thanh pho,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,2 phòng ngủ,2,Đồ dùng cho giấc ngủ thoải mái,do dung cho giac ngu thoai mai
51,54,1 giường lớn & 1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}, {'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,78.0,2,1,Hướng Thành phố,thanh pho,True,True,,,,,,,,,,,,,,,,True,,,,,,,,,,2 phòng ngủ,2,Hành lang ngoài,hanh lang ngoai
52,55,1 giường lớn,"[{'bed_type': 'giường lớn', 'bed_count': 1}]",0,1,0,0,0,0,0,0,0,0,1,34.0,0,1,Hướng Nông thôn,nong thon,,,True,True,,,,,,,,,,,,,,,,,,,,,True,,,,0,Rượu,ruou
53,56,2 giường đơn,"[{'bed_type': 'giường đơn', 'bed_count': 2}]",0,0,1,0,0,0,0,0,0,0,1,34.0,1,1,Hướng Nông thôn,nong thon,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,0,,
